"Time","Sequence","Command","RequestId","Body"
"2026-07-28T15:49:05.655+08:00","145","0x0008","0x00000001","08 30 08 0f 08 0b"
"2026-07-28T15:49:05.767+08:00","146","0x000f","0x00000002",""
"2026-07-28T15:49:05.787+08:00","147","0x0008","0x00000003","08 01 08 03 08 02 08 4c 08 06 08 4e 08 4f 08 0b 08 55 08 0c 08 0d 08 af 01 08 0e 08 0f 08 13 08 37 08 11 08 14 08 1e 08 24 08 6e 08 72 08 75 08 59 08 74 08 73 08 25 08 26 08 2a 08 28 08 29 08 30 08 31 08 32 08 42 08 84 01 08 3a 08 3b 08 3c 08 43 08 44 08 5d 08 53 08 52 08 46 08 58 08 67 08 10 08 61 08 85 01 08 86 01 08 77 08 7a 08 7b 08 7c 08 80 01 08 81 01 08 87 01 08 96 01 08 95 01 08 93 01 08 9b 01 08 9d 01 08 9e 01 08 a0 01 08 b3 01 08 a1 01 08 16 08 50 08 51 08 a7 01 08 a9 01 08 ad 01 08 b4 01 08 b0 01 08 b1 01 08 78 08 6f 08 79 08 ac 01"
"2026-07-28T15:49:06.181+08:00","148","0x0027","0x00000004","0a 24 66 66 66 66 66 66 66 66 2d 64 33 38 39 2d 34 65 33 35 2d 66 66 66 66 2d 66 66 66 66 65 66 30 35 61 63 34 61 10 02"
"2026-07-28T15:49:06.222+08:00","149","0x0007","0x00000005","08 0c 08 0d 08 af 01 12 1a 60 f2 bd a1 d3 06 68 80 e1 01 fa 0a 0d 41 73 69 61 2f 53 68 61 6e 67 68 61 69"
"2026-07-28T15:49:06.300+08:00","150","0x0008","0x00000006","08 0b 08 55 08 b4 01"
"2026-07-28T15:49:07.132+08:00","152","0x0076","0x00000007","08 05"
"2026-07-28T15:49:07.942+08:00","153","0x000d","0x00000008","08 02 18 64 20 02"
"2026-07-28T15:49:07.946+08:00","154","0x000d","0x00000009","08 02 18 64 20 03"
"2026-07-28T15:49:08.198+08:00","155","0x000d","0x0000000a","08 03 18 64 20 03"
"2026-07-28T15:49:08.211+08:00","156","0x000d","0x0000000b","08 03 18 64 20 02"
"2026-07-28T15:49:08.264+08:00","157","0x0053","0x0000000c","08 03"
"2026-07-28T15:49:08.307+08:00","158","0x0026","0x0000000d","08 03"
"2026-07-28T15:49:08.330+08:00","159","0x0026","0x0000000e","08 02"
